K_Value,Topic_Num,NMF_Keywords,LDA_Keywords
10,1,"yes, send, free, possible, appeal","hello, yes, friends, anyone, wait"
10,2,"hi, join, dm, nakapasa, appeal","pa, appeal, baka, prof, parang"
10,3,"format, redd, webp, width, auto","program, results, best, pay, huhu"
10,4,"like, course, ateneo, one, time","since, case, pass, mag, time"
10,5,"congrats, sana, omg, scholarship, wow","see, year, right, student, tapos"
10,6,"hello, join, anyone, apply, appeal","like, course, school, students, one"
10,7,"email, send, received, receive, results","dlsu, better, possible, experience, find"
10,8,"see, answering, ohhh, campus, ohh","ateneo, op, apply, hi, change"
10,9,"op, congratulations, good_luck, hugs, best","hi, email, scholarship, campus, sorry"
10,10,"pa, yan, huhu, tapos, results","help, college, yan, lahat, good"
15,1,"yes, send, free, possible, long","hello, experience, anyone, study, request"
15,2,"hi, join, dm, nakapasa, sent","prof, profs, degree, ngayon, best"
15,3,"format, redd, width, webp, auto","best, week, give, situation, submitted"
15,4,"one, ateneo, time, go, school","case, since, mag, day, call"
15,5,"congrats, sana, omg, scholarship, wow","pa, upd, yan, true, lahat"
15,6,"hello, join, anyone, dm, admu","student, life, send, getting, passed"
15,7,"email, send, received, receive, oaa","hi, scholarship, campus, sorry, believe"
15,8,"see, answering, ohhh, campus, ohh","go, etc, others, format, hahaha"
15,9,"op, congratulations, good_luck, hugs, best","pass, especially, acet, yan, math"
15,10,"pa, huhu, tapos, hahahaha, results","year, college, take, pay, huhu"
15,11,"like, nakapasa, benilde, wtf, frosh","email, op, program, one, like"
15,12,"appeal, apply, program, rejected, accepted","shift, right, possible, slot, application"
15,13,"course, shift, change, bs, shifting","like, students, class, one, time"
15,14,"yan, hahaha, ganyan, alam, lahat","help, able, course, work, good"
15,15,"prof, class, profs, report, depends","ateneo, school, yes, see, admu"
20,1,"yes, send, free, possible, cheating","like, able, give, one, wait"
20,2,"hi, join, nakapasa, anyone, message","prof, one, baka, learn, days"
20,3,"format, redd, width, webp, auto","apply, nag, least, 100, situation"
20,4,"one, time, students, school, take","since, case, mean, like, mag"
20,5,"congrats, sana, omg, scholarship, wow","pa, yan, campus, application, tapos"
20,6,"hello, join, anyone, admu, received","passed, remember, pre, choose, use"
20,7,"email, received, send, receive, oaa","yes, ateneo, acet, student, put"
20,8,"see, answering, ohhh, campus, ohh","good, help, time, iba, depends"
20,9,"op, congratulations, good_luck, hugs, best","hi, op, especially, pass, form"
20,10,"pa, tapos, results, hahahaha, nag","take, year, college, part, agree"
20,11,"like, nakapasa, wtf, possible, frosh","school, email, better, accepted, find"
20,12,"appeal, rejected, results, letter, waitlisted","go, etc, pay, huhu, getting"
20,13,"course, shift, bs, wanted, passed","shift, change, waitlisted, request, process"
20,14,"yan, ganyan, hahaha, alam, yang","students, program, possible, ateneo, results"
20,15,"prof, class, profs, report, depends","course, see, experience, bs, benilde"
20,16,"dm, sent, send, questions, free","hello, appeal, scholarship, sana, unfortunately"
20,17,"ateneo, scholarship, edu, apply, college","admu, dlsu, anyone, right, slot"
20,18,"program, change, apply, shift, request","subjects, chance, gusto, ever, keep"
20,19,"go, campus, good, let, sorry","best, profs, upd, work, recon"
20,20,"huhu, sana, sorry, hii, omg","friends, sorry, received, math, problem"
