year_month,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09
2021-05,2,0,0,0,0,1,0,0,0,1
2021-06,4,4,7,4,1,6,4,6,1,0
2021-07,28,21,22,52,50,39,1,31,63,10
2021-08,73,14,21,53,33,36,7,37,50,16
2021-09,23,12,7,13,21,10,28,20,16,5
2021-10,34,16,9,9,6,6,19,20,11,5
2021-11,47,24,34,14,4,17,39,35,26,9
2021-12,48,10,10,5,11,16,30,17,3,7
2022-01,24,1,2,5,7,9,27,17,8,8
2022-02,99,5,2,30,43,4,93,43,19,18
2022-03,13,9,4,4,10,3,12,9,11,4
2022-04,62,68,34,54,11,76,33,39,145,29
2022-05,99,88,75,46,16,60,135,89,90,36
2022-06,22,34,22,10,8,9,18,15,10,10
2022-07,55,11,27,27,9,6,67,39,8,17
2022-08,38,6,4,13,6,2,41,10,13,13
2022-09,35,3,4,8,1,0,55,3,2,6
2022-10,18,1,0,3,4,0,16,3,7,7
2022-11,2,0,1,0,2,2,1,4,0,0
2022-12,6,2,0,0,2,0,11,1,0,1
2023-01,12,1,2,3,4,2,20,3,3,1
2023-02,51,0,3,10,38,4,77,25,2,6
2023-03,7,2,0,1,2,0,15,2,0,1
2023-04,12,2,1,12,1,2,50,5,15,1
2023-05,11,20,0,4,0,2,37,14,14,3
2023-06,7,2,1,2,12,3,41,3,2,8
2023-07,31,3,0,4,1,0,21,19,2,6
2023-08,22,2,2,7,13,1,8,6,5,4
2023-09,64,7,3,16,21,4,75,21,8,4
2023-10,290,7,8,41,50,23,210,71,27,24
2023-11,61,3,5,13,20,5,31,20,8,24
2023-12,177,11,4,15,8,4,43,9,2,9
2024-01,65,8,2,10,19,1,61,26,15,12
2024-02,119,1,11,36,40,5,122,63,24,20
2024-03,93,14,6,18,38,8,46,50,14,15
2024-04,132,166,82,85,25,118,98,88,155,40
2024-05,120,100,39,50,20,63,107,59,135,38
2024-06,66,75,60,33,13,46,106,52,42,15
2024-07,30,39,35,22,29,12,16,15,21,7
2024-08,108,4,8,29,25,6,103,47,23,30
2024-09,148,5,6,24,62,9,156,84,18,15
2024-10,136,7,11,24,32,5,58,56,10,9
2024-11,59,3,4,8,4,1,25,13,2,12
2024-12,59,6,9,21,29,2,84,29,18,10
2025-01,38,8,8,7,12,4,18,24,9,5
2025-02,82,9,6,8,23,2,80,30,9,9
2025-03,57,7,8,11,35,0,52,64,3,11
2025-04,172,111,49,84,35,74,150,90,202,34
2025-05,153,209,161,96,38,129,135,132,357,37
2025-06,98,227,223,61,34,52,91,43,110,18
2025-07,148,79,139,83,118,59,147,66,52,27
2025-08,131,8,12,38,41,12,97,58,20,21
2025-09,159,4,13,41,57,7,106,81,18,14
2025-10,161,15,20,29,44,16,103,96,30,27
2025-11,174,10,6,27,38,13,62,50,30,30
2025-12,41,7,12,21,34,9,26,38,27,11
2026-01,106,14,13,16,25,7,51,35,16,19
2026-02,155,17,30,24,49,8,69,62,39,27
2026-03,230,27,45,46,86,14,122,97,79,34
2026-04,651,282,195,275,375,161,785,299,477,198
2026-05,63,23,22,24,153,31,98,40,36,45
