domain_code,phrase,rake_score,n_comments_in_domain
?,yes,420.0,2156
?,degree program,400.0,2156
?,program,396.0,2156
?,first choice,320.0,2156
?,change,300.0,2156
?,honors program,220.0,2156
?,hello,166.0,2156
?,shift,165.0,2156
?,request,162.0,2156
?,accepted,147.0,2156
?,like,116.0,2156
?,course,114.0,2156
?,take,114.0,2156
?,ateneo,100.0,2156
?,passed,97.0,2156
A,hello,678.0,4190
A,email,499.0,4190
A,appeal,351.0,4190
A,good luck,340.0,4190
A,good,250.0,4190
A,results,229.0,4190
A,received,220.0,4190
A,appeal letter,188.0,4190
A,send,177.0,4190
A,letter,164.0,4190
A,deadline,148.0,4190
A,anyone,135.0,4190
A,accepted,134.0,4190
A,like,133.0,4190
A,ateneo,128.0,4190
B,like,1036.0,13031
B,time,710.0,13031
B,students,680.0,13031
B,one,679.0,13031
B,course,614.0,13031
B,first year,592.0,13031
B,take,576.0,13031
B,ateneo,565.0,13031
B,school,518.0,13031
B,see,479.0,13031
B,able,454.0,13031
B,hello,429.0,13031
B,class,417.0,13031
B,apply,391.0,13031
B,help,366.0,13031
D,prof,476.0,4787
D,yan,299.0,4787
D,profs,223.0,4787
D,alam,150.0,4787
D,lahat,135.0,4787
D,time,113.0,4787
D,iba,111.0,4787
D,like,104.0,4787
D,gusto,102.0,4787
D,ganyan,90.0,4787
D,pwede,83.0,4787
D,students,82.0,4787
D,take,81.0,4787
D,one,78.0,4787
D,fair,75.0,4787
