year_month,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
2021-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2021-06,0,4,6,4,1,2,4,4,1,0,0,6,0,1,4
2021-07,19,27,15,42,17,4,1,16,23,7,53,35,13,19,26
2021-08,12,16,16,41,10,4,6,20,20,14,41,33,13,20,74
2021-09,8,5,6,12,14,5,21,17,6,3,11,9,5,6,27
2021-10,3,12,8,8,4,3,14,19,5,4,3,8,4,5,35
2021-11,10,26,23,11,2,6,36,37,9,7,4,13,11,5,49
2021-12,1,7,8,5,7,4,26,19,1,4,4,14,7,3,47
2022-01,2,0,1,4,5,0,24,5,3,6,5,10,2,9,32
2022-02,10,4,1,28,24,2,86,22,6,15,22,4,5,31,96
2022-03,6,7,3,3,4,0,8,7,6,3,10,4,2,2,14
2022-04,47,33,32,50,5,50,29,28,60,25,15,69,19,26,63
2022-05,21,58,61,35,5,47,127,58,49,27,22,58,17,36,113
2022-06,2,28,22,8,1,7,13,15,3,9,8,9,3,4,26
2022-07,2,17,16,22,1,1,57,21,7,17,17,5,11,13,59
2022-08,4,5,1,10,2,6,34,11,4,10,10,0,5,2,42
2022-09,0,6,3,8,1,1,49,2,0,4,1,0,3,2,37
2022-10,4,1,0,0,2,0,15,1,4,6,4,0,3,1,18
2022-11,0,1,1,0,1,0,1,1,0,0,1,1,2,1,2
2022-12,0,1,0,0,1,0,11,0,0,1,1,0,1,1,6
2023-01,0,2,0,2,3,0,17,2,1,1,0,3,3,3,14
2023-02,0,0,2,6,16,0,64,3,1,5,26,4,2,31,56
2023-03,1,2,0,1,1,0,12,1,0,1,1,0,0,2,8
2023-04,8,1,0,12,0,0,45,4,5,0,3,2,5,2,14
2023-05,4,4,0,4,0,19,30,12,11,3,1,1,2,3,11
2023-06,1,2,1,2,10,0,39,1,1,6,2,3,0,2,11
2023-07,1,1,0,3,0,2,18,11,2,5,5,0,2,10,27
2023-08,0,4,1,3,6,1,6,8,0,3,7,0,4,2,25
2023-09,1,5,1,14,12,5,64,7,6,3,10,4,2,17,72
2023-10,10,5,4,38,23,2,187,44,13,19,41,21,17,23,304
2023-11,2,3,1,11,13,3,27,16,3,19,10,3,4,7,68
2023-12,3,14,3,14,10,0,33,7,2,7,2,2,13,5,167
2024-01,4,10,1,7,9,2,53,15,5,6,10,1,13,16,67
2024-02,7,5,6,19,25,1,101,30,11,13,41,5,7,33,137
2024-03,2,7,2,14,25,7,38,25,6,12,13,6,8,34,103
2024-04,34,80,64,67,10,107,85,59,95,32,33,111,30,42,140
2024-05,34,39,27,42,4,72,91,37,74,33,21,62,28,39,128
2024-06,5,45,53,28,3,40,91,22,29,11,15,40,19,36,71
2024-07,7,32,29,12,11,9,15,7,13,6,23,13,8,12,29
2024-08,7,2,2,27,9,1,90,33,12,20,24,3,13,20,120
2024-09,13,4,5,14,26,4,139,27,3,12,49,7,14,73,137
2024-10,4,9,6,19,18,1,46,16,6,6,14,4,15,47,137
2024-11,1,5,1,7,3,0,24,1,1,9,3,2,0,16,58
2024-12,5,6,7,17,13,1,72,14,6,7,16,4,11,24,64
2025-01,4,9,5,5,9,1,12,14,4,2,7,4,3,12,42
2025-02,0,4,5,6,15,6,76,12,4,9,11,3,6,17,84
2025-03,1,8,7,8,26,1,45,26,2,4,15,0,6,40,59
2025-04,38,44,36,62,18,79,132,65,149,25,32,66,43,38,174
2025-05,75,119,128,88,9,112,121,84,234,26,50,119,39,75,168
2025-06,35,193,186,54,10,56,79,26,57,14,39,47,30,34,97
2025-07,13,107,85,58,33,19,116,31,21,22,132,46,33,48,154
2025-08,7,8,7,28,18,4,84,25,12,16,33,13,11,26,146
2025-09,9,5,6,37,28,0,88,36,5,10,40,9,19,48,160
2025-10,5,14,15,20,19,5,84,50,17,25,39,15,13,59,161
2025-11,6,9,5,20,7,8,54,23,16,20,41,10,6,36,179
2025-12,6,11,8,17,22,0,21,23,13,6,17,8,8,17,49
2026-01,6,20,7,7,12,1,44,14,7,15,16,8,13,29,103
2026-02,6,21,17,16,29,3,59,22,20,19,28,6,18,45,171
2026-03,21,36,23,28,51,2,104,41,42,20,51,13,33,69,246
2026-04,121,184,145,228,227,157,668,186,262,150,213,143,115,200,699
2026-05,9,19,16,22,83,4,78,26,15,33,82,26,21,20,81
