scope,method,topic,keywords
AdMU,NMF,0,"like, time, one, student, work, friend, prof, math, take, experience, since, better"
AdMU,NMF,1,"email, send, send email, oaa, receive, sent, receive email, received email, confirmation, call, wait, email oaa"
AdMU,NMF,2,"aid, financial, financial aid, fin, fin aid, apply, apply financial, aid scholarship, aid application, apply fin, application, admission"
AdMU,NMF,3,"program, change, degree, degree program, change degree, request, request change, choice, honor program, honor, change program, accepted"
AdMU,NMF,4,"year, first, first year, sem, shift, second, last, last year, apply, second year, freshman, school year"
AdMU,NMF,5,"result, week, release, last, june, deadline, released, day, today, release result, july, waiting"
AdMU,NMF,6,"class, pre, enlisted, pre enlisted, subject, enlistment, enlist, schedule, prof, aisis, natsci, flc"
AdMU,NMF,7,"course, choice, honor, honor course, shift, management, math, psych, science, take, passed, first choice"
AdMU,NMF,8,"appeal, letter, appeal letter, endorsement, endorsement letter, letter appeal, write, reconsideration, finaid, recommendation letter, recommendation, rejected"
AdMU,NMF,9,"hello, incoming, freshman, admu, incoming freshman, freshie, hello incoming, incoming freshie, question, discord, freshies, server"
AdMU,NMF,10,"fee, confirmation, tuition, pay, confirmation fee, tuition fee, paid, pay confirmation, payment, deadline, pay tuition, paid confirmation"
AdMU,NMF,11,"school, high, high school, admu, school year, science, dream, law, dlsu, record, school record, dream school"
AdMU,NMF,12,"form, grade, application, requirement, submit, application form, essay, recommendation, deadline, submitted, card, google"
AdMU,NMF,13,"scholarship, finaid, apply, oaa, scholar, dorm, dost, finaid scholarship, allowance, granted, passed, grant"
AdMU,NMF,14,"received, mine, received mine, yet, received email, anyone, mine yet, anyone received, email yet, submitted, hello received, ago"
AdMU,NMF,15,"yes, long, open, yes yes, rejected, teacher, afaik, free, yan, time, hello yes, yes possible"
AdMU,NMF,16,"good, luck, good luck, best, see, best luck, hahaha, call, worry, law, good grade, find"
AdMU,NMF,17,"huhu, omg, sana, answer, super, meron, hoping, akong, waiting, idk, worried, baka"
AdMU,NMF,18,"ateneo, student, university, edu, ateneo email, ateneo edu, college, study, ust, website, ateneo student, alumnus"
AdMU,NMF,19,"waitlisted, applicant, rejected, recon, accepted, waitlisted applicant, chance, slot, getting, chance getting, rejected applicant, finaid"
AdMU,LDA,0,"room, student, good, aircon, kind, walang, person, ateneo, life, manila, big, genuinely"
AdMU,LDA,1,"like, work, exam, year, shs, dlsu, night, definitely, good, take, took, admu"
AdMU,LDA,2,"subject, math, one, day, break, joke, time, pwede, finish, since, list, intersession"
AdMU,LDA,3,"email, form, confirmation, oaa, deadline, aisis, received, hello, send, application, doon, wait"
AdMU,LDA,4,"course, ateneo, student, school, acet, admu, management, passed, program, like, hello, study"
AdMU,LDA,5,"task, every, hour, school, per, time, session, least, honestly, parent, final, part"
AdMU,LDA,6,"like, time, experience, focus, friend, one, done, study, better, fan, good, used"
AdMU,LDA,7,"ill, grade, use, part, put, hold, card, copy, day, report, cost, whatever"
AdMU,LDA,8,"heat, time, always, bring, away, center, ride, campus, blocking, review, far, day"
AdMU,LDA,9,"like, nalang, guess, moment, yan, transferring, reason, keep, mean, hahaha, mag, ash"
AdMU,LDA,10,"course, year, program, first, shift, prof, change, choice, degree, certain, second, honor"
AdMU,LDA,11,"day, week, year, last, start, girl, batch, end, next, due, minute, school"
AdMU,LDA,12,"scholarship, aid, apply, finaid, application, financial, tuition, scholar, fee, year, pay, hello"
AdMU,LDA,13,"enlistment, prof, transfer, mean, year, school, number, enlist, minsan, memo, google, expect"
AdMU,LDA,14,"result, appeal, hello, waitlisted, yet, applicant, ateneo, rejected, huhu, recon, slot, accepted"
AdMU,LDA,15,"open, anything, might, incoming, interview, hii, one, wrong, check, pretty, jeep, worry"
AdMU,LDA,16,"yes, answer, question, give, grade, one, department, nice, close, diff, matter, orgs"
AdMU,LDA,17,"school, letter, admu, blue, grade, essay, shs, gold, recommendation, admission, like, anymore"
AdMU,LDA,18,"class, lab, find, two, pre, usually, different, lesser, annoying, enlisted, school, prof"
AdMU,LDA,19,"health, chem, phone, prefer, psych, bellarmine, feeling, science, sci, nasa, baka, breakfast"
Benilde,NMF,0,"student, campus, see, professor, working, government, take, student government, agree, issue, leader, many"
Benilde,NMF,1,"sir, chill, goat, goated, hello, subject, nice, aldino, sir aldino, fun, kay, kay sir"
Benilde,NMF,2,"class, attend, hour, activity, attend class, kind, week, fun, attendance, late, teaching, always"
Benilde,NMF,3,"prof, good prof, teach, nung, chill, nice, rate, absence, prof benilde, huhu, prof yan, chill prof"
Benilde,NMF,4,"one, mean, email, true, hard, person, pretty, especially, use, csg, might, last"
Benilde,NMF,5,"yan, mabait, prof yan, yang, wag, nya, sana, yan benilde, ganyan, kupal, kuya, hahahahaha"
Benilde,NMF,6,"benilde, shit, take, university, many, ust, student benilde, kind, reputation, wrong, manila, taga"
Benilde,NMF,7,"term, next, next term, last, last term, first, first term, year, end, able, end term, reason"
Benilde,NMF,8,"like, thought, csb, see, right, dlsu, point, bad, seems, bro, student like, idk"
Benilde,NMF,9,"school, real, csb, dlsu, high school, high, work, stop, expect, year, admin, everyone"
Benilde,NMF,10,"per, unit, per unit, month, hour, week, per month, php, rate, per hour, part, csb"
Benilde,NMF,11,"good, luck, good luck, good prof, point, since, kay, teaching, teacher, good hand, hand, good teaching"
Benilde,NMF,12,"grade, sya, give, super, chill, high, nya, magbigay, quiz, long, activity, mataas"
Benilde,NMF,13,"art, course, subject, film, program, mma, csb, since, related, design, art school, art course"
Benilde,NMF,14,"frosh, hate, year, frosh hate, niyo, real, joke, senior, change, siguro, frosh year, dami"
Benilde,NMF,15,"friend, group, find, guy, circle, friend group, best, love, close, girl, keep, take"
Benilde,NMF,16,"hahaha, lahat, ata, hour, chair, dati, mma, tapos, dude, ta, happy, hay"
Benilde,NMF,17,"time, day, part, first, let, part time, submit, nung, since, work, nung time, meet"
Benilde,NMF,18,"sorry, mental, health, mental health, omg, let, sorry hear, hear, better, mean, help, happened"
Benilde,NMF,19,"online, nag, mag, shift, shift online, modality, sabi, lahat, online modality, alam, parang, nalang"
Benilde,LDA,0,"term, prof, end, grade, next, dlsu, week, faculty, yes, latch, full, good"
Benilde,LDA,1,"student, group, friend, admin, sorry, one, besg, guard, issue, saw, leader, line"
