scope,method,topic,keywords
ALL,NMF,0,"course, choice, math, shift, take, management, honor course, honor, psych, subject, science, passed"
ALL,NMF,1,"result, waitlisted, week, applicant, huhu, june, last, release, recon, received, deadline, mine"
ALL,NMF,2,"email, send, received, send email, oaa, receive, received email, confirmation, sent, yet, form, call"
ALL,NMF,3,"year, first, first year, last, last year, shift, sem, second, freshman, second year, school year, apply"
ALL,NMF,4,"prof, sir, term, chill, good prof, pick, subject, teaching, nya, depends prof, teach, prof pick"
ALL,NMF,5,"appeal, letter, recon, appeal letter, rejected, slot, finaid, chance, waitlisted, reconsideration, endorsement, letter appeal"
ALL,NMF,6,"yan, mag, nag, hahaha, tapos, sana, nung, pwede, lahat, alam, walang, parang"
ALL,NMF,7,"school, high, high school, ateneo, admu, dlsu, school year, dream, science, dream school, form, college"
ALL,NMF,8,"program, change, degree, degree program, choice, request, change program, change degree, honor, honor program, request change, accepted"
ALL,NMF,9,"good, luck, good luck, see, sir, best, congrats, best luck, good prof, journey, exam, good grade"
ALL,NMF,10,"class, online, pre, online class, enlisted, schedule, subject, enlist, enlistment, pre enlisted, week, start"
ALL,NMF,11,"scholarship, aid, apply, financial, financial aid, ateneo, fin, fin aid, application, finaid, scholar, aid scholarship"
ALL,NMF,12,"one, friend, better, work, help, experience, best, right, see, life, find, since"
ALL,NMF,13,"student, dlsu, benilde, professor, university, campus, many, number, current, admin, issue, incoming"
ALL,NMF,14,"like, nakapasa, benilde, seems, seems like, sound, feel, bad, sound like, feel like, etc, system"
ALL,NMF,15,"hello, question, incoming, huhu, form, admu, freshman, hello incoming, incoming freshman, freshie, anyone, exam"
ALL,NMF,16,"yes, send, long, term, free, teacher, campus, message, yes possible, omg, start, check"
ALL,NMF,17,"grade, exam, high, requirement, subject, chance, final, grade grade, math, sir, upcat, pas"
ALL,NMF,18,"fee, tuition, pay, confirmation, tuition fee, confirmation fee, reservation, reservation fee, paid, payment, pay reservation, pay confirmation"
ALL,NMF,19,"time, day, take, first, math, long, exam, next, first time, week, hour, part"
ALL,LDA,0,"ateneo, deadline, applicant, process, admission, rejected, dorm, enlistment, office, wait, non, check"
ALL,LDA,1,"friend, use, join, group, guy, looking, country, name, personally, money, making, bring"
ALL,LDA,2,"subject, math, question, last, sem, exam, yet, year, received, health, answer, taking"
ALL,LDA,3,"student, year, since, work, yes, college, one, experience, big, many, dlsu, part"
ALL,LDA,4,"read, area, near, manila, night, jeep, book, preferred, condo, traffic, chill, onsite"
ALL,LDA,5,"issue, admin, call, wrong, used, nothing, unless, building, self, left, handle, shit"
ALL,LDA,6,"class, day, week, unit, room, task, per, hour, online, start, rent, semester"
ALL,LDA,7,"course, program, first, year, take, ust, choice, campus, management, change, degree, science"
ALL,LDA,8,"sorry, interview, reply, soon, today, report, bio, lab, ata, appreciate, omg, hopefully"
ALL,LDA,9,"recommendation, tao, recently, anong, uni, car, proof, exact, air, namang, wear, tomorrow"
ALL,LDA,10,"like, time, one, help, mean, better, see, might, right, always, long, end"
ALL,LDA,11,"frat, pre, sobrang, face, literally, naka, freshies, man, mahirap, statement, certificate, safe"
ALL,LDA,12,"school, scholarship, apply, accepted, slot, passed, aid, tuition, possible, high, scholar, able"
ALL,LDA,13,"good, admu, grade, prof, chance, best, getting, next, pas, batch, definitely, term"
ALL,LDA,14,"shift, shifting, department, stay, step, bang, ill, considering, thru, interest, quality, whatever"
ALL,LDA,15,"university, worth, culture, free, education, outside, center, review, towards, fan, wish, goal"
ALL,LDA,16,"hello, email, result, application, letter, form, fee, huhu, anyone, pay, send, regarding"
ALL,LDA,17,"yan, nag, mag, walang, hahaha, baka, pwede, nung, tapos, lahat, iba, nalang"
ALL,LDA,18,"waitlisted, ever, financial, dream, engineering, decision, thought, waiting, told, status, felt, coming"
ALL,LDA,19,"find, org, orgs, away, grad, blue, tried, live, aircon, old, found, detail"
