year_month,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
2021-05,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
2021-06,0,2,4,3,1,2,3,3,1,0,0,3,2,1,2,3,0,3,3,1
2021-07,14,4,12,28,15,1,1,11,20,4,45,21,27,14,6,47,10,8,13,16
2021-08,6,0,13,34,8,2,4,11,17,9,31,17,64,16,17,33,11,8,14,25
2021-09,7,1,5,10,14,3,17,7,4,2,11,9,28,4,1,4,4,21,0,3
2021-10,2,3,8,4,1,1,10,11,5,3,1,4,26,4,6,17,4,16,0,9
2021-11,10,9,26,11,1,4,32,18,8,4,2,7,37,4,7,18,8,22,9,12
2021-12,1,1,8,5,6,2,26,16,1,4,3,12,41,1,5,11,6,2,1,5
2022-01,2,0,1,4,4,0,22,2,3,5,5,6,25,8,0,1,1,6,3,10
2022-02,7,2,0,26,19,2,71,11,5,12,18,1,88,25,8,4,4,21,3,29
2022-03,4,4,3,3,3,0,6,5,7,3,7,3,10,2,3,3,1,4,2,6
2022-04,29,17,26,46,4,41,28,14,61,22,14,51,55,18,18,32,17,21,21,16
2022-05,11,17,47,28,4,34,113,35,46,24,19,43,103,27,22,53,15,30,32,31
2022-06,2,15,20,5,1,4,12,9,3,7,8,8,25,3,1,15,2,10,3,5
2022-07,1,2,17,18,0,1,51,16,6,14,15,2,48,11,7,21,8,11,1,16
2022-08,3,2,1,7,0,3,31,4,4,8,5,0,35,1,5,9,4,14,0,10
2022-09,0,2,2,3,1,0,45,1,0,3,0,0,29,2,12,4,2,2,0,9
2022-10,2,1,0,1,1,0,14,1,4,5,4,0,16,1,3,0,2,3,0,1
2022-11,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,5,0,0
2022-12,0,0,0,0,1,0,10,0,0,1,1,0,5,0,1,2,0,1,0,1
2023-01,0,0,0,0,2,0,13,2,1,1,0,1,12,3,3,2,3,2,0,6
2023-02,0,0,1,5,13,0,59,3,1,5,21,0,34,29,18,1,2,1,5,18
2023-03,1,0,0,1,1,0,11,0,0,0,1,0,5,1,0,2,0,3,0,4
2023-04,3,1,0,9,0,0,41,2,5,0,3,2,11,2,0,1,5,3,0,13
2023-05,3,3,0,4,0,15,28,8,7,2,0,1,8,4,3,1,2,12,0,4
2023-06,0,1,1,1,8,0,38,0,1,6,2,1,12,1,1,2,0,3,1,2
2023-07,1,0,0,1,0,2,16,9,0,5,3,0,24,6,4,3,2,2,3,6
2023-08,0,0,1,3,6,0,6,4,1,3,5,0,23,1,0,5,3,3,0,6
2023-09,1,1,1,11,11,5,52,4,6,2,8,0,69,14,8,4,1,4,8,13
2023-10,7,1,2,33,18,1,163,21,13,18,32,15,266,19,37,7,14,21,8,55
2023-11,1,0,1,7,10,2,20,11,3,15,7,2,52,7,12,4,2,4,5,25
2023-12,2,4,2,9,6,0,30,4,2,6,1,2,147,3,14,10,10,11,0,19
2024-01,3,1,0,7,7,1,48,17,3,5,7,0,42,13,13,11,11,8,0,22
2024-02,7,1,4,13,17,0,86,21,9,7,23,2,108,23,22,10,5,20,10,53
2024-03,2,4,1,12,23,6,33,10,7,10,13,2,81,29,14,6,6,16,2,25
2024-04,19,56,54,57,8,81,71,51,94,27,20,85,125,37,29,40,27,31,36,41
2024-05,22,20,22,31,4,59,79,21,74,27,16,37,113,28,26,36,20,17,39,40
2024-06,2,31,53,21,3,30,84,13,28,10,15,31,48,31,22,29,16,9,15,17
2024-07,5,15,24,9,10,7,12,5,12,5,23,6,25,8,2,24,7,9,9,9
2024-08,4,1,3,20,8,0,83,28,9,19,24,3,91,17,19,4,10,7,4,29
2024-09,9,0,4,9,22,3,125,22,3,10,40,2,116,63,29,6,12,7,7,38
2024-10,2,4,6,17,16,0,39,10,3,6,12,2,111,41,19,11,12,8,0,29
2024-11,1,2,1,6,3,0,20,1,0,9,1,1,50,11,10,2,0,1,0,12
2024-12,4,1,7,15,11,0,66,9,3,5,13,2,55,21,9,5,10,12,2,17
2025-01,1,3,5,3,7,1,9,8,5,2,3,0,30,9,11,4,2,9,7,14
2025-02,0,7,4,5,17,2,68,7,3,8,8,1,64,13,16,1,6,3,0,25
2025-03,0,5,6,7,22,1,41,21,1,3,13,1,50,36,10,3,4,6,1,17
2025-04,30,29,27,45,16,58,119,42,144,20,23,45,135,31,43,40,36,38,44,36
2025-05,50,67,90,76,5,77,106,55,223,23,41,73,142,57,39,118,30,51,76,48
2025-06,27,148,154,43,7,35,73,16,52,11,27,28,87,28,16,64,24,20,53,44
2025-07,8,15,65,49,30,14,99,26,19,16,107,18,136,40,21,107,28,9,51,60
2025-08,6,3,6,18,13,1,73,19,11,11,30,6,130,19,20,8,9,11,6,38
2025-09,8,2,4,28,24,0,79,28,3,9,31,5,126,39,29,8,11,20,6,40
2025-10,4,2,13,16,15,3,74,36,16,18,31,12,125,51,38,15,11,19,8,34
2025-11,3,4,5,15,4,0,48,16,17,19,26,4,129,32,35,9,3,22,13,36
2025-12,5,3,5,10,16,0,19,14,14,5,8,2,40,14,5,10,5,27,10,14
2026-01,2,8,7,5,10,1,40,9,8,12,9,6,70,24,24,9,11,9,6,32
2026-02,4,8,15,12,21,2,49,15,19,15,20,5,134,34,21,11,13,15,6,61
2026-03,13,18,20,18,42,0,93,23,37,17,39,8,183,60,42,25,25,37,14,66
2026-04,85,83,122,197,169,116,571,104,248,117,149,93,558,160,130,164,78,219,77,258
2026-05,4,11,14,16,71,3,66,15,15,24,70,17,59,17,20,14,19,39,12,29
